时间,模型,IP,prompt,completion,tokens,积分消耗,当前余额积分,请求ID,key,info
03-13 05:37:19,deepseek-r1,2a06:98c0:3600::103,2766,1217,3983,244,72989,OvexEK9MvQl6WFOV,主,
03-13 05:28:11,gpt-4o-mini,2a06:98c0:3600::103,2295,8,2303,25,73014,PiNXLMsAwLvjvY81,主,
03-13 05:27:03,deepseek-r1,2a06:98c0:3600::103,27,2723,2750,349,73363,l9ajOgHHm8phV03u,主,
03-13 04:23:30,deepseek-r1,2a06:98c0:3600::103,4486,1820,6306,376,73739,oU3c0w2XanHRh4Ba,主,
03-13 04:16:19,deepseek-r1,2a06:98c0:3600::103,2474,1997,4471,335,74074,p8eB2yR5OXeziEEU,主,
03-13 04:13:52,gpt-4o-mini,2a06:98c0:3600::103,2072,9,2081,22,74096,g8Y7afO6iBTlYBVy,主,
03-13 04:12:58,deepseek-r1,2a06:98c0:3600::103,39,2417,2456,311,74407,C1BaEPGfCCe3oS92,主,
03-13 01:31:24,gpt-4o-mini,2a06:98c0:3600::103,1391,414,1805,32,74439,MWnbnCreaacmGA3N,主,
03-13 01:30:35,deepseek-r1,2a06:98c0:3600::103,7167,1862,9029,468,74907,3JlZ2JE1CKfTk7yh,主,
03-13 01:24:19,deepseek-r1,2a06:98c0:3600::103,5580,1414,6994,360,75267,IsBupTnCkNku7fSw,主,
03-13 01:10:04,deepseek-r1,2a06:98c0:3600::103,3351,2203,5554,389,75656,UAKtvlLJnRP2OfSr,主,
03-13 01:02:27,deepseek-r1,2a06:98c0:3600::103,1541,1248,2789,209,75865,zRVj1VrjLUfJm1Iq,主,
03-13 00:54:42,gpt-4o-mini,2a06:98c0:3600::103,1346,11,1357,15,75880,JNzd7QaVgFOwZufA,主,
03-13 00:54:02,deepseek-r1,2a06:98c0:3600::103,22,1499,1521,193,76073,JLJs6SCr4VdwsRpE,主,
03-12 22:30:51,gpt-4o-mini,2a06:98c0:3600::103,155,37,192,3,76076,GeXNMb4Xx1e3cl7j,主,
03-12 22:30:32,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,78076,img-9KGEvsQIletKVveC,主,
03-12 22:30:32,gpt-4o,2a06:98c0:3600::103,2759,573,3332,1590,79666,9KGEvsQIletKVveC,主,
03-12 22:24:12,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,81666,img-kRGQFNOvN72rk5TQ,主,
03-12 22:24:12,gpt-4o,2a06:98c0:3600::103,1909,465,2374,1173,82839,kRGQFNOvN72rk5TQ,主,
03-12 22:15:18,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,84839,img-40YlM0gogBoB7JKE,主,
03-12 22:15:18,gpt-4o,2a06:98c0:3600::103,1062,494,1556,903,85742,40YlM0gogBoB7JKE,主,
03-12 21:53:40,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,87742,img-SBX2GGZBLzZxMzgX,主,
03-12 21:53:40,gpt-4o,2a06:98c0:3600::103,88,636,724,709,88451,SBX2GGZBLzZxMzgX,主,
03-12 21:52:10,img-gpt-4o,2a06:98c0:3600::103,1,0,1,1000,89451,img-K898Vq9J3kr7iiqh,主,
03-12 21:52:10,gpt-4o,2a06:98c0:3600::103,43,433,476,476,89927,K898Vq9J3kr7iiqh,主,
03-12 21:52:44,gpt-4o-mini,2a06:98c0:3600::103,110,8,118,1,89928,JmDGQZZkLoS8JPVo,主,
03-12 20:29:35,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,91928,img-vcOZgd4ZxBBgyqzm,主,
03-12 20:29:35,gpt-4o,2a06:98c0:3600::103,282,87,369,193,92121,vcOZgd4ZxBBgyqzm,主,
03-12 20:26:44,img-gpt-4o,2a06:98c0:3600::103,2,0,2,2000,94121,img-15kPz1caogppmLsN,主,
03-12 20:26:44,gpt-4o,2a06:98c0:3600::103,18,181,199,199,94320,15kPz1caogppmLsN,主,
03-12 20:25:34,img-gpt-4o,2a06:98c0:3600::103,1,0,1,1000,95320,img-oaI7xr1SpAZ1Hpx6,主,
03-12 20:25:34,gpt-4o,2a06:98c0:3600::103,8,141,149,153,95473,oaI7xr1SpAZ1Hpx6,主,
03-12 20:26:07,gpt-4o-mini,2a06:98c0:3600::103,75,4,79,1,95474,6M773gxVtkIL03Fq,主,
03-12 12:14:44,gpt-4o-mini,2a06:98c0:3600::103,3677,285,3962,51,95525,36iw8zI8lYKagDAu,主,
03-12 12:14:35,deepseek-v3,2a06:98c0:3600::103,2278,260,2538,53,95578,iowa1NNBtH8o5hlI,主,
03-12 12:05:00,gpt-4o-mini,2a06:98c0:3600::103,3524,226,3750,47,95625,sb2tbYrAU30gIeDa,主,
03-12 12:04:57,deepseek-v3,2a06:98c0:3600::103,1990,77,2067,37,95662,sjwmf1PuOu5cQ9Y9,主,
03-12 12:04:42,gpt-4o-mini,2a06:98c0:3600::103,3499,264,3763,48,95710,xcISdN23KcTreWdN,主,
03-12 12:04:33,deepseek-v3,2a06:98c0:3600::103,2455,330,2785,60,95770,2VJa57tspsYpOz3P,主,
03-12 11:59:35,gpt-4o-mini,2a06:98c0:3600::103,2699,241,2940,39,95809,ATUvHSxaaHGmk1F4,主,
03-12 11:59:24,deepseek-v3,2a06:98c0:3600::103,3327,360,3687,76,95885,zDgQJ9jCt8jAMcq8,主,
03-12 11:32:46,gpt-4o-mini,2a06:98c0:3600::103,1293,264,1557,25,95910,UdSixGbzw6rHDqzO,主,
03-12 11:32:39,deepseek-v3,2a06:98c0:3600::103,3502,127,3629,64,95974,yZm0x15xNuawwvfZ,主,
03-12 11:05:30,gpt-4o,2a06:98c0:3600::103,2589,855,3444,1830,97804,NvzccZcsvF9wG2Qg,主,
03-12 11:05:28,gpt-4o,2a06:98c0:3600::103,2589,789,3378,1759,99563,Kpva1z0FrRtGeiQm,主,
03-12 11:04:33,gpt-4o,2a06:98c0:3600::103,2589,839,3428,1813,101376,OqnZSu43Xi1Q20x2,主,
03-12 10:57:05,gpt-4o,2a06:98c0:3600::103,1186,850,2036,1326,102702,Hyps2AYBvI3eGym9,主,
03-12 10:42:11,gpt-4o-mini,2a06:98c0:3600::103,786,5,791,9,102711,DqfFqibw4RT0UdIX,主,
03-12 10:41:35,gpt-4o,2a06:98c0:3600::103,101,621,722,697,103408,u4sEpiHoE1Rbofjo,主,
03-11 19:34:19,deepseek-v3,2a06:98c0:3600::103,1192,691,1883,63,103471,y18zIOdtrLBacojI,主,
03-11 19:20:07,gpt-4o-mini,2a06:98c0:3600::103,1139,8,1147,12,103483,5dKyHrvSce5RWfbR,主,
