时间,chatgpt-4o-latest,claude-3-7-sonnet-20250219,claude-3-haiku-20240307,claude-3-opus-20240229,deepseek-r1,deepseek-v3,gemini-1.5-pro,gemini-pro-1.5,gpt-3.5-turbo,gpt-4o,gpt-4o-mini,img-chatgpt-4o-latest,img-gpt-4o,img-gpt-4o-mini,o1-mini,pay
03-01,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,27.0,3.0,0.0,2.0,0.0,0.0,0.0
03-02,5.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,0.0,1.0
03-03,4.0,0.0,2.0,1.0,7.0,10.0,1.0,0.0,0.0,0.0,28.0,1.0,0.0,0.0,1.0,0.0
03-04,27.0,0.0,1.0,0.0,15.0,2.0,0.0,3.0,2.0,1.0,34.0,0.0,0.0,0.0,0.0,0.0
03-05,7.0,0.0,0.0,0.0,8.0,16.0,0.0,0.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0
03-06,12.0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0
03-07,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0
03-08,5.0,2.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,40.0,3.0,0.0,1.0,0.0,0.0
03-09,1.0,0.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,7.0,23.0,1.0,7.0,0.0,0.0,0.0
03-10,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,6.0,18.0,4.0,5.0,0.0,0.0,0.0
03-11,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0
03-12,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,13.0,9.0,0.0,8.0,0.0,0.0,0.0
03-13,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
