时间,模型,积分消耗,当前余额积分
03-13 05:37:19,deepseek-r1,244,72989
03-13 05:28:11,gpt-4o-mini,25,73014
03-13 05:27:03,deepseek-r1,349,73363
03-13 04:23:30,deepseek-r1,376,73739
03-13 04:16:19,deepseek-r1,335,74074
03-13 04:13:52,gpt-4o-mini,22,74096
03-13 04:12:58,deepseek-r1,311,74407
03-13 01:31:24,gpt-4o-mini,32,74439
03-13 01:30:35,deepseek-r1,468,74907
03-13 01:24:19,deepseek-r1,360,75267
03-13 01:10:04,deepseek-r1,389,75656
03-13 01:02:27,deepseek-r1,209,75865
03-13 00:54:42,gpt-4o-mini,15,75880
03-13 00:54:02,deepseek-r1,193,76073
03-12 22:30:51,gpt-4o-mini,3,76076
03-12 22:30:32,img-gpt-4o,2000,78076
03-12 22:30:32,gpt-4o,1590,79666
03-12 22:24:12,img-gpt-4o,2000,81666
03-12 22:24:12,gpt-4o,1173,82839
03-12 22:15:18,img-gpt-4o,2000,84839
03-12 22:15:18,gpt-4o,903,85742
03-12 21:53:40,img-gpt-4o,2000,87742
03-12 21:53:40,gpt-4o,709,88451
03-12 21:52:10,img-gpt-4o,1000,89451
03-12 21:52:10,gpt-4o,476,89927
03-12 21:52:44,gpt-4o-mini,1,89928
03-12 20:29:35,img-gpt-4o,2000,91928
03-12 20:29:35,gpt-4o,193,92121
03-12 20:26:44,img-gpt-4o,2000,94121
03-12 20:26:44,gpt-4o,199,94320
03-12 20:25:34,img-gpt-4o,1000,95320
03-12 20:25:34,gpt-4o,153,95473
03-12 20:26:07,gpt-4o-mini,1,95474
03-12 12:14:44,gpt-4o-mini,51,95525
03-12 12:14:35,deepseek-v3,53,95578
03-12 12:05:00,gpt-4o-mini,47,95625
03-12 12:04:57,deepseek-v3,37,95662
03-12 12:04:42,gpt-4o-mini,48,95710
03-12 12:04:33,deepseek-v3,60,95770
03-12 11:59:35,gpt-4o-mini,39,95809
03-12 11:59:24,deepseek-v3,76,95885
03-12 11:32:46,gpt-4o-mini,25,95910
03-12 11:32:39,deepseek-v3,64,95974
03-12 11:05:30,gpt-4o,1830,97804
03-12 11:05:28,gpt-4o,1759,99563
03-12 11:04:33,gpt-4o,1813,101376
03-12 10:57:05,gpt-4o,1326,102702
03-12 10:42:11,gpt-4o-mini,9,102711
03-12 10:41:35,gpt-4o,697,103408
03-11 19:34:19,deepseek-v3,63,103471
03-11 19:20:07,gpt-4o-mini,12,103483
03-11 19:19:44,deepseek-v3,53,103536
03-11 19:19:25,gpt-4o-mini,6,103542
03-11 16:35:47,gpt-4o-mini,8,103550
03-11 16:35:01,deepseek-r1,93,103643
03-11 16:02:20,gpt-4o-mini,31,103674
03-11 16:01:45,pay,-100000,3674
03-11 15:59:59,gpt-4o-mini,20,3694
03-11 04:49:23,gpt-4o-mini,18,3712
03-11 04:48:58,deepseek-r1,246,3958
03-11 04:44:48,gpt-4o-mini,17,3975
03-11 04:44:28,deepseek-r1,238,4213
03-10 22:15:32,gpt-4o-mini,13,4226
03-10 22:14:53,deepseek-r1,182,4408
03-10 20:56:39,gpt-4o-mini,7,4415
03-10 20:16:20,img-chatgpt-4o-latest,3000,7415
03-10 20:16:20,chatgpt-4o-latest,777,8192
03-10 20:14:20,img-chatgpt-4o-latest,2000,10192
03-10 20:14:20,chatgpt-4o-latest,598,10790
03-10 20:09:54,gpt-4o-mini,4,10794
03-10 20:09:39,img-chatgpt-4o-latest,1000,11794
03-10 20:09:39,chatgpt-4o-latest,486,12280
03-10 17:53:56,gpt-4o-mini,3,12283
03-10 17:53:48,img-chatgpt-4o-latest,1000,13283
03-10 17:53:48,chatgpt-4o-latest,272,13555
03-10 17:18:27,gpt-4o-mini,10,13565
03-10 16:32:39,gpt-4o-mini,14,13579
03-10 16:32:27,gpt-4o,796,14375
03-10 16:29:02,gpt-4o-mini,66,14441
03-10 16:27:05,gpt-4o-mini,33,14474
03-10 16:02:46,img-gpt-4o,1000,15474
03-10 16:02:46,gpt-4o,1230,16704
03-10 15:59:42,img-gpt-4o,1000,17704
03-10 15:59:42,gpt-4o,662,18366
03-10 15:56:14,gpt-4o-mini,12,18378
03-10 15:55:36,deepseek-r1,173,18551
03-10 15:51:28,gpt-4o-mini,15,18566
03-10 15:50:42,deepseek-r1,221,18787
03-10 15:35:55,gpt-4o-mini,4,18791
03-10 15:35:29,img-gpt-4o,1000,19791
03-10 15:35:29,gpt-4o,268,20059
03-10 15:32:45,gpt-4o-mini,59,20118
03-10 15:32:06,img-gpt-4o,1000,21118
03-10 15:32:06,gpt-4o,2661,23779
03-10 15:31:26,gpt-4o-mini,48,23827
03-10 15:30:58,img-gpt-4o,1000,24827
03-10 15:30:58,gpt-4o,2303,27130
03-10 03:29:39,gpt-4o-mini,21,27151
03-10 03:29:05,deepseek-r1,308,27459
03-10 02:24:41,gpt-4o-mini,3,27462
03-10 02:24:39,gpt-4o-mini,4,27466
03-10 01:36:12,gpt-4o-mini,7,27473
03-10 01:36:08,gpt-4o-mini,15,27488
03-09 22:15:26,gpt-4o-mini,18,27506
03-09 22:14:42,deepseek-r1,247,27753
03-09 21:09:48,gpt-4o-mini,32,27785
03-09 21:09:33,img-gpt-4o,5000,32785
03-09 21:09:33,gpt-4o,1277,34062
03-09 21:08:14,gpt-4o-mini,24,34086
03-09 21:07:58,img-gpt-4o,5000,39086
03-09 21:07:58,gpt-4o,1128,40214
03-09 21:07:00,gpt-4o-mini,17,40231
03-09 21:06:43,img-gpt-4o,5000,45231
03-09 21:06:43,gpt-4o,1135,46366
03-09 21:06:21,gpt-4o-mini,14,46380
03-09 21:06:05,img-gpt-4o,5000,51380
03-09 21:06:05,gpt-4o,1213,52593
03-09 21:05:18,img-gpt-4o,4000,56593
03-09 21:05:18,gpt-4o,871,57464
03-09 21:04:11,img-gpt-4o,3000,60464
03-09 21:04:11,gpt-4o,514,60978
03-09 21:03:09,img-gpt-4o,2000,62978
03-09 21:03:09,gpt-4o,405,63383
03-09 21:02:22,gpt-4o-mini,4,63387
03-09 21:02:13,img-chatgpt-4o-latest,1000,64387
03-09 21:02:13,chatgpt-4o-latest,400,64787
03-09 20:06:03,gpt-4o-mini,15,64802
03-09 20:05:21,deepseek-r1,208,65010
03-09 15:15:05,gpt-4o-mini,43,65053
03-09 15:14:42,deepseek-v3,124,65177
03-09 15:04:59,gpt-4o-mini,17,65194
03-09 15:04:23,deepseek-r1,214,65408
03-09 14:43:08,deepseek-r1,271,65679
03-09 14:42:14,gpt-4o-mini,18,65697
03-09 14:41:23,deepseek-r1,256,65953
03-09 13:39:44,gpt-4o-mini,24,65977
03-09 13:38:59,gpt-4o-mini,21,65998
03-09 13:34:37,gpt-4o-mini,5,66003
03-09 13:33:00,gpt-4o-mini,3,66006
03-09 12:26:50,gpt-4o-mini,26,66032
03-09 12:26:09,deepseek-v3,182,66214
03-09 12:25:25,deepseek-v3,114,66328
03-09 12:24:56,deepseek-v3,97,66425
03-09 12:23:22,deepseek-v3,81,66506
03-09 12:19:56,gpt-4o-mini,13,66519
03-09 12:19:37,deepseek-v3,53,66572
03-09 12:10:01,gpt-4o-mini,1,66573
03-09 06:37:30,deepseek-r1,241,66814
03-09 06:36:50,deepseek-r1,193,67007
03-09 04:54:21,gpt-4o-mini,7,67014
03-09 04:54:07,deepseek-r1,124,67138
03-09 02:56:48,gpt-4o-mini,13,67151
03-09 00:28:11,gpt-4o-mini,29,67180
03-09 00:27:45,gpt-4o-mini,16,67196
03-09 00:08:42,gpt-4o-mini,13,67209
03-09 00:08:10,deepseek-r1,171,67380
03-09 00:06:38,gpt-4o-mini,4,67384
03-08 20:52:42,gpt-4o-mini,346,67730
03-08 20:48:07,gpt-4o-mini,331,68061
03-08 20:42:03,gpt-4o-mini,325,68386
03-08 20:29:46,gpt-4o-mini,314,68700
03-08 15:04:30,gpt-4o-mini,303,69003
03-08 14:57:58,gpt-4o-mini,294,69297
03-08 14:53:57,gpt-4o-mini,269,69566
03-08 14:46:49,gpt-4o-mini,256,69822
03-08 14:38:54,gpt-4o-mini,243,70065
03-08 14:36:18,gpt-4o-mini,242,70307
